"species","survival","extinction"
"Calomys_callosus",0.99995,5e-05
"Calomys_cerqueirai",0.996,0.004
"Calomys_chinchilico",0.996,0.004
"Calomys_expulsus",0.99995,5e-05
"Calomys_frida",0.996,0.004
"Calomys_hummelincki",0.99995,5e-05
"Calomys_laucha",0.99995,5e-05
"Calomys_lepidus",0.99995,5e-05
"Calomys_mattevii",0.996,0.004
"Calomys_miurus",0.996,0.004
"Calomys_musculinus",0.99995,5e-05
"Calomys_sorellus",0.99995,5e-05
"Calomys_tener",0.99995,5e-05
"Calomys_tocantinsi",0.99995,5e-05
"Calomys_venustus",0.99995,5e-05
"Calomyscus_bailwardi",0.99995,5e-05
"Calomyscus_baluchi",0.99995,5e-05
"Calomyscus_elburzensis",0.99995,5e-05
"Calomyscus_grandis",0.996,0.004
"Calomyscus_hotsoni",0.99995,5e-05
"Calomyscus_mystax",0.99995,5e-05
"Calomyscus_tsolovi",0.996,0.004
"Calomyscus_urartensis",0.99995,5e-05
"Caluromys_derbianus",0.99995,5e-05
"Caluromys_lanatus",0.99995,5e-05
"Caluromys_philander",0.99995,5e-05
"Caluromysiops_irrupta",0.99995,5e-05
"Calyptophractus_retusus",0.996,0.004
"Camelus_bactrianus",0.03,0.97
"Camelus_dromedarius",0.996,0.004
"Canis_adustus",0.99995,5e-05
"Canis_anthus",0.99995,5e-05
"Canis_aureus",0.99995,5e-05
"Canis_latrans",0.99995,5e-05
"Canis_lupus",0.99995,5e-05
"Canis_lycaon",0.996,0.004
"Canis_mesomelas",0.99995,5e-05
"Canis_rufus",0.03,0.97
"Canis_simensis",0.58,0.42
"Cannomys_badius",0.99995,5e-05
"Cansumys_canus",0.99995,5e-05
"Caperea_marginata",0.99995,5e-05
"Capra_aegagrus",0.95,0.05
"Capra_caucasica",0.58,0.42
"Capra_cylindricornis",0.996,0.004
"Capra_falconeri",0.996,0.004
"Capra_hircus",0.996,0.004
"Capra_ibex",0.99995,5e-05
"Capra_nubiana",0.95,0.05
"Capra_pyrenaica",0.99995,5e-05
"Capra_sibirica",0.99995,5e-05
"Capra_walie",0.58,0.42
"Capreolus_capreolus",0.99995,5e-05
"Capreolus_pygargus",0.99995,5e-05
"Capricornis_crispus",0.99995,5e-05
"Capricornis_milneedwardsii",0.996,0.004
"Capricornis_rubidus",0.996,0.004
"Capricornis_sumatraensis",0.95,0.05
"Capricornis_swinhoei",0.99995,5e-05
"Capricornis_thar",0.996,0.004
"Caprolagus_hispidus",0.58,0.42
"Capromys_pilorides",0.99995,5e-05
"Caracal_aurata",0.95,0.05
"Caracal_caracal",0.99995,5e-05
"Cardiocranius_paradoxus",0.996,0.004
"Cardioderma_cor",0.99995,5e-05
"Carlito_syrichta",0.996,0.004
"Carollia_benkeithi",0.99995,5e-05
"Carollia_brevicauda",0.99995,5e-05
"Carollia_castanea",0.99995,5e-05
"Carollia_colombiana",0.996,0.004
"Carollia_manu",0.99995,5e-05
"Carollia_monohernandezi",0.996,0.004
"Carollia_perspicillata",0.99995,5e-05
"Carollia_sowelli",0.99995,5e-05
"Carollia_subrufa",0.99995,5e-05
"Carpitalpa_arendsi",0.95,0.05
"Carpomys_melanurus",0.996,0.004
"Carpomys_phaeurus",0.99995,5e-05
"Carterodon_sulcidens",0.996,0.004
"Caryomys_eva",0.99995,5e-05
"Caryomys_inez",0.99995,5e-05
"Casinycteris_argynnis",0.99995,5e-05
"Casinycteris_campomaanensis",0.996,0.004
"Casinycteris_ophiodon",0.996,0.004
"Castor_canadensis",0.99995,5e-05
"Castor_fiber",0.99995,5e-05
"Castoria_serrensis",0.99995,5e-05
